name,value,group
Kamysty,10468,Qostanai
Karabalyk,24111,Qostanai
Karasu,19884,Qostanai
Kostanay,73277,Qostanai
Mendykara,21503,Qostanai
Naurzum,8790,Qostanai
Sarykol,16964,Qostanai
BeimbetMailin,22510,Qostanai
Uzunkol,14757,Qostanai
Fedorov,23506,Qostanai
Qyzylorda city,358235,Qyzylorda
BayQonyr,33584,Qyzylorda
Aral,79144,Qyzylorda
Zhalagash,35988,Qyzylorda
Zhanakorgan,81327,Qyzylorda
Kazaly,79255,Qyzylorda
Karmakshy,52007,Qyzylorda
Syrdariya,37911,Qyzylorda
Shieli,85932,Qyzylorda
Aktau,284338,Mangystau
Zhanaozen,152141,Mangystau
Beyneu,72899,Mangystau
Karakiyan,36722,Mangystau
Mangistau,35182,Mangystau
Munayli,169893,Mangystau
Tupkaragan,40188,Mangystau
Pavlodar city,368859,Pavlodar
Aksu,72511,Pavlodar
Ekibastuz,145002,Pavlodar
Aktogay,12607,Pavlodar
Bayanaul,23348,Pavlodar
Zhelezin,14922,Pavlodar
Irtysh,16567,Pavlodar
Terenkol,19572,Pavlodar
Akkuly,12130,Pavlodar
May,10370,Pavlodar
Pavlodar,26352,Pavlodar
Uspen,12473,Pavlodar
Sharbakty,18771,Pavlodar
Petropavlovsk,221995,North 
Aiyrtau,31714,North 
Akzhar,13099,North 
MagzhanZhumabaev,26659,North 
Esil,20831,North 
Zhambyl,17662,North 
Kyzylzhar,46471,North 
Mamlyut,17174,North 
Shalakyn,17574,North 
Akkayin,17664,North 
Taiynsha,39212,North 
Timiryazev,9608,North 
Ualikhanov,12773,North 
GabitMusirepov,35044,North 
Turkistan city,230227,Turkistan
Arys,79046,Turkistan
Kentau,99769,Turkistan
Baydibek,48591,Turkistan
Zhetysai,187099,Turkistan
Keles,133756,Turkistan
Kazygurt,117845,Turkistan
Maktaaral,129554,Turkistan
Ordabasy,129235,Turkistan
Otrar,51525,Turkistan
Sayram,237606,Turkistan
Saryagash,222490,Turkistan
Suzak,63158,Turkistan
Tolebi,122038,Turkistan
Tyulkubas,106229,Turkistan
Shardara,84615,Turkistan
Zhezkazgan city,93261,Ulytau
Karazhal,17303,Ulytau
Satpaev,68926,Ulytau
Zhanaarka,30869,Ulytau
Ulytau,11172,Ulytau
Oskemen city,375363,East
Ridder,51380,East
Glubokoe,56373,East
Zaysan,35551,East
Altay,60153,East
Kurshum,21722,East
Katonkaragay,20482,East
Samar,11682,East
Tarbagatay,18848,East
Ulan,33562,East
Shemonaikha,41268,East
Almaty,401758,Astana
Esil,458306,Astana
Saryarka,351313,Astana
Baykonyr,240148,Astana
Nura,193835,Astana
Almaly,266997,Almaty
Alatau,374146,Almaty
Auezov,358257,Almaty
Bostandyk,331138,Almaty
Zhetysu,198831,Almaty
Medeu,248456,Almaty
Nauryzbay,205888,Almaty
Turksib,261111,Almaty
Abay,358316,Shymkent
Al-Farabi,201549,Shymkent
Enbekshi,295716,Shymkent
Karatau,376215,Shymkent
Turan,,Shymkent
